Name,Model,Date of assembly,Price,Brand,KM Driven,Fuel Type,Body Type,Seat capicity,No. of prev owners,Transmission,city
2014 Used Mahindra Bolero in Shajapur,Bolero [2011-2020],2014,509281,Mahindra,95000,Diesel,SUV,7,Second Owner ,Manual,shajapur
2017 Used Ford Aspire in Shajapur,Aspire [2015-2018],2017,350000,Ford,35000,Petrol,CompactSedan,5,First Owner ,Manual,shajapur
2012 Used Maruti Suzuki Swift DZire in Shajapur,Swift DZire [2011-2015],2012,225000,Maruti Suzuki,101000,Diesel,Sedan,5,4 or More Owners,Manual,shajapur
2022 Used Maruti Suzuki Baleno in Shajapur,Baleno,2022,400000,Maruti Suzuki,250000,CNG,Hatchback,5,First Owner ,Manual,shajapur
2019 Used Maruti Suzuki Alto 800 in Shajapur,Alto 800 [2016-2019],2019,300000,Maruti Suzuki,75000,Petrol,Hatchback,5,Second Owner ,Manual,shajapur
2018 Used Hyundai Grand i10 in Shajapur,Grand i10,2018,400000,Hyundai,35000,Petrol,Hatchback,5,First Owner ,Manual,shajapur
2017 Used Maruti Suzuki Omni in Shajapur,Omni,2017,233126,Maruti Suzuki,30000,Petrol,Minivan,8,Third Owner ,Manual,shajapur
2012 Used Honda City in Shajapur,City [2011-2014],2012,200000,Honda,75000,Petrol,Sedan,5,Third Owner ,Automatic,shajapur
2024 Used Maruti Suzuki Swift in Shajapur,Swift,2024,850000,Maruti Suzuki,40000,Petrol,Hatchback,5,First Owner ,Manual,shajapur
2024 Used Mercedes-Benz GLA in Indore,GLA,2024,4655000,Mercedes-Benz,3110,Petrol,SUV,5,UnRegistered Car,Automatic (DCT),shajapur
2016 Used Honda City in Indore,City [2014-2017],2016,493190,Honda,61372,Petrol,Sedan,5,Second Owner,Manual,shajapur
2022 Used Tata Nexon in Indore,Nexon [2020-2023],2022,687000,Tata,12162,Petrol,CompactSuv,5,First Owner,Automatic (AMT),shajapur
2022 Used Mercedes-Benz E-Class in Indore,E-Class [2017-2021],2022,5700000,Mercedes-Benz,44692,Petrol,Sedan,5,First Owner,Automatic,shajapur
2016 Used Volkswagen Polo in Indore,Polo [2016-2019],2016,388000,Volkswagen,59949,Petrol,Hatchback,5,Second Owner,Manual,shajapur
2024 Used Audi Q3 Sportback in Indore,Q3 Sportback,2024,4851000,Audi,14300,Petrol,Coupe,5,First Owner ,Automatic (DCT),shajapur
2024 Used Audi A6 in Indore,A6,2024,6500000,Audi,6851,Petrol,Sedan,5,UnRegistered Car,Automatic (DCT),shajapur
2023 Used Mercedes-Benz EQB in Indore,EQB,2023,4699000,Mercedes-Benz,18600,Electric,SUV,5,UnRegistered Car,Automatic,shajapur
2022 Used Mercedes-Benz C-Class in Indore,C-Class [2022-2024],2022,4600000,Mercedes-Benz,29500,Diesel,Sedan,5,First Owner ,Automatic (TC),shajapur
2021 Used Force Motors Gurkha in Angul,Gurkha [2021-2024],2021,1000000,Force Motors,50000,Diesel,SUV,4,Second Owner ,Manual,angul
2022 Used Maruti Suzuki Celerio in Angul,Celerio,2022,550000,Maruti Suzuki,28000,Petrol,Hatchback,5,First Owner ,Manual,angul
2012 Used Chevrolet Beat in Angul,Beat [2011-2014],2012,200000,Chevrolet,67000,Petrol,Hatchback,5,Second Owner ,Manual,angul
2019 Used Maruti Suzuki DZire in Angul,Dzire [2017-2020],2019,650000,Maruti Suzuki,60000,Petrol,CompactSedan,5,First Owner ,Manual,angul
2013 Used Maruti Suzuki Ertiga in Angul,Ertiga [2012-2015],2013,525000,Maruti Suzuki,69200,Petrol,SUV,7,Second Owner ,Manual,angul
2017 Used Maruti Suzuki Wagon R in Angul,Stingray,2017,375000,Maruti Suzuki,42000,Petrol,Hatchback,5,First Owner ,Automatic,angul
2020 Used Mahindra Scorpio in Angul,Scorpio 2021,2020,900000,Mahindra,150000,Diesel,SUV,7,First Owner ,Manual,angul
2019 Used Maruti Suzuki Swift in Angul,Swift [2018-2021],2019,500000,Maruti Suzuki,48000,Petrol,Hatchback,5,Second Owner ,Manual,angul
2017 Used Tata Nexon in Angul,Nexon [2017-2020],2017,870000,Tata,91623,Diesel,SUV,5,First Owner ,Manual,angul
2021 Used Maruti Suzuki Baleno in Angul,Baleno [2019-2022],2021,580000,Maruti Suzuki,63000,Petrol,Hatchback,5,First Owner ,Manual,angul
